#Theta Phase_0 Phase_1 Phase_2 Phase_3
0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000
0.128228271575094 0.499999999950452 5.784665479701842 5.786895281984594 5.785436135477188
0.256456543150187 0.999999999900884 5.286520844429543 5.290664204465605 0.000253402050674
0.384684814725281 1.499999999851283 5.783927780594093 5.786611470638491 0.498606285260461
0.512913086300374 1.999999999801645 6.280056157826045 6.281794414764820 0.997332593103653
0.641141357875468 2.499999999751969 0.490970085219956 0.492267414658420 1.496395123336014
0.769369629450562 2.999999999702259 0.982274907021357 0.983566157242771 1.995718882906979
0.897597901025655 3.499999999652526 1.470669722210448 1.472263914820406 2.495210487189535
1.025826172600749 3.999999999602784 1.957483916281985 1.959514491342931 2.994769844154970
1.154054444175842 4.499999999553046 2.445125366721596 2.447524835754891 3.494295291719145
1.282282715750936 4.999999999503326 2.935413313781124 2.937926407359811 3.993685871705688
1.410510987326030 5.499999999453638 3.428652750469764 3.430880406100847 4.492845048765266
1.538739258901123 5.999999999403987 3.924196586299771 3.925651170925888 4.991689900982292
1.666967530476217 0.216814692174788 4.421248194500893 4.421411526944038 5.490168100644801
1.795195802051310 0.716814692125210 4.919194469505444 4.917584058905598 5.988280391020002
1.923424073626404 1.216814692075657 5.417621683041206 5.413867034844231 0.202913491130389
2.051652345201497 1.716814692026116 5.916243473847588 5.910157946658808 0.700580274334524
2.179880616776591 2.216814691976573 0.131642201324176 0.123264120218570 1.198278371428739
2.308108888351684 2.716814691927013 0.629945588721393 0.619529523938111 1.696182073708815
2.436337159926778 3.216814691877424 1.127648200407763 1.115610672389955 2.194412079666945
2.564565431501872 3.716814691827798 1.624276485360046 1.611119984926098 2.693015510397382
2.692793703076966 4.216814691778135 2.119144862658455 2.105384186177698 3.191972897203557
2.821021974652059 4.716814691728436 2.611445320455109 2.597544850313238 3.691219365993607
2.949250246227153 5.216814691678710 3.100743603863204 3.087060409806863 4.190665967600806
3.077478517802246 5.716814691628969 3.587842310912139 3.574572827827943 4.690214014761002
3.205706789377340 6.216814691579227 4.074941017961061 4.062085245849012 5.189762061921199
3.333935060952433 0.433629384349913 4.564239301369115 4.551600805342595 5.689208663528396
3.462163332527527 0.933629384300213 5.056539759165783 5.043761469478151 6.188455132318444
3.590391604102621 1.433629384250549 5.551408136464234 5.538025670729791 0.404227211945033
3.718619875677714 1.933629384200925 6.048036421416516 6.033534983265930 0.902830642675468
3.846848147252808 2.433629384151336 0.262553725923301 0.246430824538193 1.401060648633599
3.975076418827901 2.933629384101776 0.760857113320517 0.742696228257733 1.898964350913676
4.103304690402995 3.433629384052232 1.259441147976686 1.238987708997076 2.396662448007891
4.231532961978089 3.933629384002693 1.758062938783077 1.735278620811659 2.894329231212025
4.359761233553182 4.433629383953139 1.259635725247310 1.238995644873020 3.392147638501999
4.487989505128276 4.933629383903561 0.761689450242757 0.742823112911454 3.890259928877207
4.616217776703369 5.433629383853948 1.258741058443873 1.238583468929596 4.388738128539714
4.744446048278463 5.933629383804298 1.754284894273855 1.733354233754609 4.887582980756740
4.872674319853556 0.150444076575020 2.247524330962504 2.226308232495654 5.386742157816315
5.000902591428650 0.650444076525304 2.737812278022057 2.716709804100601 5.886132737802861
5.129130863003743 1.150444076475566 3.225453728461643 3.204720148512536 0.102472878187449
5.257359134578837 1.650444076425824 3.712267922533169 3.691970725035048 0.602032235152883
5.385587406153931 2.150444076376093 3.223873107344049 3.203272967457384 1.101523839435441
5.513815677729024 2.650444076326384 2.732568285542641 2.711974224873027 1.600847599006403
5.642043949304118 3.150444076276710 3.226667520116131 3.205632531946204 2.099910129238769
5.770272220879211 3.650444076227071 3.722795897348060 3.700815476072510 2.598636437081957
5.898500492454305 4.150444076177472 4.220202833512634 4.196762742245419 3.096989320291748
6.026728764029398 4.650444076127901 4.718347468784945 4.692993819764421 3.594991894044821
6.154957035604492 5.150444076078355 5.216867296262674 5.189283844959395 3.097242722342425
6.283185307179586 6.150444076053482 6.216181082413829 6.187427362051260 2.098415539035887
