# Original and nested triple points
# Type	Point_x	Point_y	Point_z
Original	0.05000000000000001	-0.025	-0.02500000000000001
Original	-0.024999999999999998	0.05	-0.02500000000000001
Original	-0.025000000000000022	-0.024999999999999988	0.05000000000000001
Nested	0.05816496580927727	-0.02908248290463863	-0.02908248290463864
Nested	0.045917517095361376	-0.016835034190722742	-0.02908248290463864
Nested	0.045917517095361376	-0.029082482904638628	-0.01683503419072275
Nested	-0.029082482904638628	0.05816496580927726	-0.02908248290463864
Nested	-0.02908248290463863	0.045917517095361376	-0.01683503419072275
Nested	-0.016835034190722735	0.04591751709536137	-0.029082482904638638
Nested	-0.029082482904638655	-0.029082482904638614	0.05816496580927727
Nested	-0.016835034190722763	-0.02908248290463862	0.045917517095361376
Nested	-0.02908248290463865	-0.016835034190722728	0.045917517095361376
