# Accumulated Berry phases using Original method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
0.985992	56.493195	0.000000	-0.492996	-0.492996	0.000000
0.996053	57.069656	0.000000	-0.498027	-0.498027	0.000000
1.006115	57.646117	0.000000	-0.503057	-0.503057	0.000000
1.016176	58.222578	0.000000	-0.508088	-0.508088	0.000000
1.026237	58.799039	0.000000	-0.513118	-0.513118	0.000000
1.036298	59.375500	0.000000	-0.518149	-0.518149	0.000000
1.046359	59.951962	0.000000	-0.523180	-0.523180	0.000000
1.056420	60.528423	0.000000	-0.528210	-0.528210	0.000000
1.066481	61.104884	0.000000	-0.533241	-0.533241	0.000000
1.076543	61.681345	0.000000	-0.538271	-0.538271	0.000000
1.086604	62.257806	0.000000	-0.543302	-0.543302	0.000000
1.096665	62.834267	0.000000	-0.548332	-0.548332	0.000000
1.106726	63.410729	0.000000	-0.553363	-0.553363	0.000000
1.116787	63.987190	0.000000	-0.558394	-0.558394	0.000000
1.126848	64.563651	0.000000	-0.563424	-0.563424	0.000000
1.136909	65.140112	0.000000	-0.568455	-0.568455	0.000000
1.146971	65.716573	0.000000	-0.573485	-0.573485	0.000000
1.157032	66.293034	0.000000	-0.578516	-0.578516	0.000000
1.167093	66.869496	0.000000	-0.583546	-0.583546	0.000000
1.177154	67.445957	0.000000	-0.588577	-0.588577	0.000000
1.187215	68.022418	0.000000	-0.593608	-0.593608	0.000000
1.197276	68.598879	0.000000	-0.598638	-0.598638	0.000000
1.207337	69.175340	0.000000	-0.603669	-0.603669	0.000000
1.217399	69.751801	0.000000	-0.608699	-0.608699	0.000000
1.227460	70.328263	0.000000	-0.613730	-0.613730	0.000000
1.237521	70.904724	0.000000	-0.618760	-0.618760	0.000000
1.247582	71.481185	0.000000	-0.623791	-0.623791	0.000000
1.257643	72.057646	0.000000	-0.628822	-0.628822	0.000000
1.267704	72.634107	0.000000	-0.633852	-0.633852	0.000000
1.277765	73.210568	0.000000	-0.638883	-0.638883	0.000000
1.287827	73.787030	0.000000	-0.643913	-0.643913	0.000000
1.297888	74.363491	0.000000	-0.648944	-0.648944	0.000000
1.307949	74.939952	0.000000	-0.653974	-0.653974	0.000000
1.318010	75.516413	0.000000	-0.659005	-0.659005	0.000000
1.328071	76.092874	0.000000	-0.664036	-0.664036	0.000000
1.338132	76.669335	0.000000	-0.669066	-0.669066	0.000000
1.348193	77.245797	0.000000	-0.674097	-0.674097	0.000000
1.358255	77.822258	0.000000	-0.679127	-0.679127	0.000000
1.368316	78.398719	0.000000	-0.684158	-0.684158	0.000000
1.378377	78.975180	0.000000	-0.689188	-0.689188	0.000000
1.388438	79.551641	0.000000	-0.694219	-0.694219	0.000000
1.398499	80.128102	0.000000	-0.699250	-0.699250	0.000000
1.408560	80.704564	0.000000	-0.704280	-0.704280	0.000000
1.418622	81.281025	0.000000	-0.709311	-0.709311	0.000000
1.428683	81.857486	0.000000	-0.714341	-0.714341	0.000000
1.438744	82.433947	0.000000	-0.719372	-0.719372	0.000000
1.448805	83.010408	0.000000	-0.724402	-0.724402	0.000000
1.458866	83.586869	0.000000	-0.729433	-0.729433	0.000000
1.468927	84.163331	0.000000	-0.734464	-0.734464	0.000000
1.478988	84.739792	0.000000	-0.739494	-0.739494	0.000000
1.489050	85.316253	0.000000	-0.744525	-0.744525	0.000000
1.499111	85.892714	0.000000	-0.749555	-0.749555	0.000000
1.509172	86.469175	0.000000	-0.754586	-0.754586	0.000000
1.519233	87.045637	0.000000	-0.759616	-0.759616	0.000000
1.529294	87.622098	0.000000	-0.764647	-0.764647	0.000000
1.539355	88.198559	0.000000	-0.769678	-0.769678	0.000000
1.549416	88.775020	0.000000	-0.774708	-0.774708	0.000000
1.559478	89.351481	0.000000	-0.779739	-0.779739	0.000000
1.569539	89.927942	0.000000	-0.784769	-0.784769	0.000000
1.579600	90.504404	0.000000	-0.789800	-0.789800	0.000000
1.589661	91.080865	0.000000	-0.794830	-0.794830	0.000000
1.599722	91.657326	0.000000	-0.799861	-0.799861	0.000000
1.609783	92.233787	0.000000	-0.804892	-0.804892	0.000000
1.619844	92.810248	0.000000	-0.809922	-0.809922	0.000000
1.629906	93.386709	0.000000	-0.814953	-0.814953	0.000000
1.639967	93.963171	0.000000	-0.819983	-0.819983	0.000000
1.650028	94.539632	0.000000	-0.825014	-0.825014	0.000000
1.660089	95.116093	0.000000	-0.830044	-0.830044	0.000000
1.670150	95.692554	0.000000	-0.835075	-0.835075	0.000000
1.680211	96.269015	0.000000	-0.840106	-0.840106	0.000000
1.690272	96.845476	0.000000	-0.845136	-0.845136	0.000000
1.700334	97.421938	0.000000	-0.850167	-0.850167	0.000000
1.710395	97.998399	0.000000	-0.855197	-0.855197	0.000000
1.720456	98.574860	0.000000	-0.860228	-0.860228	0.000000
1.730517	99.151321	0.000000	-0.865259	-0.865259	0.000000
1.740578	99.727782	0.000000	-0.870289	-0.870289	0.000000
1.750639	100.304243	0.000000	-0.875320	-0.875320	0.000000
1.760700	100.880705	0.000000	-0.880350	-0.880350	0.000000
1.770762	101.457166	0.000000	-0.885381	-0.885381	0.000000
1.780823	102.033627	0.000000	-0.890411	-0.890411	0.000000
1.790884	102.610088	0.000000	-0.895442	-0.895442	0.000000
1.800945	103.186549	0.000000	-0.900473	-0.900473	0.000000
1.811006	103.763010	0.000000	-0.905503	-0.905503	0.000000
1.821067	104.339472	0.000000	-0.910534	-0.910534	0.000000
1.831128	104.915933	0.000000	-0.915564	-0.915564	0.000000
1.841190	105.492394	0.000000	-0.920595	-0.920595	0.000000
1.851251	106.068855	0.000000	-0.925625	-0.925625	0.000000
1.861312	106.645316	0.000000	-0.930656	-0.930656	0.000000
1.871373	107.221777	0.000000	-0.935687	-0.935687	0.000000
1.881434	107.798239	0.000000	-0.940717	-0.940717	0.000000
1.891495	108.374700	0.000000	-0.945748	-0.945748	0.000000
1.901556	108.951161	0.000000	-0.950778	-0.950778	0.000000
1.911618	109.527622	0.000000	-0.955809	-0.955809	0.000000
1.921679	110.104083	0.000000	-0.960839	-0.960839	0.000000
1.931740	110.680544	0.000000	-0.965870	-0.965870	0.000000
1.941801	111.257006	0.000000	-0.970901	-0.970901	0.000000
1.951862	111.833467	0.000000	-0.975931	-0.975931	0.000000
1.961923	112.409928	0.000000	-0.980962	-0.980962	0.000000
1.971984	112.986389	0.000000	-0.985992	-0.985992	0.000000
1.982046	113.562850	0.000000	-0.991023	-0.991023	0.000000
