# Theta (radians)	State 0	State 1	State 2	State 3
0.00000000	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.12822827	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.25645654	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.38468481	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.51291309	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.64114136	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.76936963	-3.14159265	-3.14159265	-3.14159265	-3.14159265
0.89759790	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.02582617	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.15405444	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.28228272	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.41051099	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.53873926	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.66696753	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.79519580	-3.14159265	-3.14159265	-3.14159265	-3.14159265
1.92342407	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.05165235	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.17988062	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.30810889	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.43633716	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.56456543	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.69279370	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.82102197	-3.14159265	-3.14159265	-3.14159265	-3.14159265
2.94925025	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.07747852	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.20570679	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.33393506	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.46216333	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.59039160	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.71861988	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.84684815	-3.14159265	-3.14159265	-3.14159265	-3.14159265
3.97507642	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.10330469	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.23153296	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.35976123	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.48798951	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.61621778	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.74444605	-3.14159265	-3.14159265	-3.14159265	-3.14159265
4.87267432	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.00090259	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.12913086	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.25735913	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.38558741	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.51381568	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.64204395	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.77027222	-3.14159265	-3.14159265	-3.14159265	-3.14159265
5.89850049	-3.14159265	-3.14159265	-3.14159265	-3.14159265
6.02672876	-3.14159265	-3.14159265	-3.14159265	-3.14159265
6.15495704	-3.14159265	-3.14159265	-3.14159265	-3.14159265
6.28318531	-3.14159265	-3.14159265	-3.14159265	-3.14159265
