# Berry phases calculated using different methods
# State	Original	Wilson Loop	Parallel Transport
0	0.000000	0.000000	0.000000
1	-3.141593	0.000000	0.000000
2	-3.141593	0.000000	0.000000
3	0.000000	0.000000	0.000000
