#Theta Phase_0 Phase_1 Phase_2 Phase_3
0.000000000000000 -3.141592653589793 -3.141592653589793 -3.141592653589793 -3.141592653589793
0.128228271575094 -2.641592653639341 2.643072826112049 2.645302628394801 2.643843481887395
0.256456543150187 -2.141592653688909 2.144928190839750 2.149071550875812 -3.141339251539120
0.384684814725281 -1.641592653738510 2.642335127004300 2.645018817048697 -2.642986368329332
0.512913086300374 -1.141592653788148 3.138463504236252 3.140201761175027 -2.144260060486141
0.641141357875468 -0.641592653837824 -2.650622568369837 -2.649325238931373 -1.645197530253780
0.769369629450562 -0.141592653887534 -2.159317746568436 -2.158026496347022 -1.145873770682813
0.897597901025655 0.358407346062734 -1.670922931379345 -1.669328738769387 -0.646382166400258
1.025826172600749 0.858407346012990 -1.184108737307808 -1.182078162246862 -0.146822809434823
1.154054444175842 1.358407345963252 -0.696467286868197 -0.694067817834902 0.352702638129351
1.282282715750936 1.858407345913534 -0.206179339808669 -0.203666246229982 0.852093218115895
1.410510987326030 2.358407345863846 0.287060096879971 0.289287752511054 1.351252395175472
1.538739258901123 2.858407345814193 0.782603932709979 0.784058517336096 1.850097247392499
1.666967530476217 -2.924777961415005 1.279655540911101 1.279818873354245 2.348575447055008
1.795195802051310 -2.424777961464583 1.777601815915652 1.775991405315805 2.846687737430209
1.923424073626404 -1.924777961514136 2.276029029451413 2.272274381254437 -2.938679162459405
2.051652345201497 -1.424777961563677 2.774650820257794 2.768565293069015 -2.441012379255270
2.179880616776591 -0.924777961613220 -3.009950452265617 -3.018328533371223 -1.943314282161055
2.308108888351684 -0.424777961662780 -2.511647064868400 -2.522063129651682 -1.445410579880978
2.436337159926778 0.075222038287631 -2.013944453182031 -2.025981981199838 -0.947180573922848
2.564565431501872 0.575222038238007 -1.517316168229748 -1.530472668663695 -0.448577143192411
2.692793703076966 1.075222038188340 -1.022447790931338 -1.036208467412095 0.050380243613764
2.821021974652059 1.575222038138644 -0.530147333134684 -0.544047803276555 0.549626712403814
2.949250246227153 2.075222038088917 -0.040849049726589 -0.054532243782930 1.049073314011014
3.077478517802246 2.575222038039175 0.446249657322344 0.432980174238150 1.548621361171211
3.205706789377340 3.075222037989434 0.933348364371266 0.920492592259219 2.048169408331407
3.333935060952433 -2.707963269239880 1.422646647779320 1.410008151752802 2.547616009938604
3.462163332527527 -2.207963269289582 1.914947105575990 1.902168815888356 3.046862478728652
3.590391604102621 -1.707963269339242 2.409815482874439 2.396433017139998 -2.737365441644759
3.718619875677714 -1.207963269388866 2.906443767826723 2.891942329676137 -2.238762010914325
3.846848147252808 -0.707963269438455 -2.879038927666492 -2.895161829051599 -1.740532004956194
3.975076418827901 -0.207963269488015 -2.380735540269274 -2.398896425332058 -1.242628302676117
4.103304690402995 0.292036730462438 -1.882151505613106 -1.902604944592717 -0.744930205581902
4.231532961978089 0.792036730412899 -1.383529714806716 -1.406314032778134 -0.247263422377767
4.359761233553182 1.292036730363346 -1.881956928342483 -1.902597008716771 0.250554984912206
4.487989505128276 1.792036730313768 -2.379903203347038 -2.398769540678341 0.748667275287414
4.616217776703369 2.292036730264154 -1.882851595145919 -1.903009184660196 1.247145474949921
4.744446048278463 2.792036730214505 -1.387307759315938 -1.408238419835182 1.745990327166947
4.872674319853556 -2.991148577014773 -0.894068322627287 -0.915284421094139 2.245149504226521
5.000902591428650 -2.491148577064489 -0.403780375567738 -0.424882849489190 2.744540084213067
5.129130863003743 -1.991148577114227 0.083861074871852 0.063127494922742 -3.039119775402344
5.257359134578837 -1.491148577163969 0.570675268943376 0.550378071445255 -2.539560418436910
5.385587406153931 -0.991148577213700 0.082280453754255 0.061680313867591 -2.040068814154353
5.513815677729024 -0.491148577263409 -0.409024368047152 -0.429618428716768 -1.540745054583390
5.642043949304118 0.008851422686917 0.085074866526337 0.064039878356411 -1.041682524351025
5.770272220879211 0.508851422637278 0.581203243758267 0.559222822482717 -0.542956216507836
5.898500492454305 1.008851422587679 1.078610179922840 1.055170088655625 -0.044603333298046
6.026728764029398 1.508851422538108 1.576754815195152 1.551401166174628 0.453399240455028
6.154957035604492 2.008851422488561 2.075274642672881 2.047691191369601 -0.044349931247368
6.283185307179586 3.008851422463689 3.074588428824036 3.045834708461467 -1.043177114553906
